Date,Close/Last,Volume,Open,High,Low
05/23/2025,$339.34,84654820,$337.92,$343.18,$333.21
05/22/2025,$341.04,97113420,$331.90,$347.27,$331.39
05/21/2025,$334.62,102354800,$344.43,$347.35,$332.20
05/20/2025,$343.82,131715500,$347.87,$354.9899,$341.63
05/19/2025,$342.09,88869850,$336.30,$343.00,$333.37
05/16/2025,$349.98,95895670,$346.24,$351.62,$342.33
05/15/2025,$342.82,97882600,$340.34,$346.1393,$334.7153
05/14/2025,$347.68,136997300,$342.50,$350.00,$337.00
05/13/2025,$334.07,136992600,$320.00,$337.5894,$316.80
05/12/2025,$318.38,112826700,$321.99,$322.21,$311.50
05/09/2025,$298.26,132387800,$290.21,$307.04,$290.00
05/08/2025,$284.82,97539450,$279.63,$289.80,$279.41
05/07/2025,$276.22,71882410,$276.88,$277.92,$271.00
05/06/2025,$275.35,76715790,$273.105,$277.73,$271.35
05/05/2025,$280.26,94618880,$284.57,$284.849,$274.40
05/02/2025,$287.21,114454700,$284.90,$294.78,$279.81
05/01/2025,$280.52,99658970,$280.01,$290.8688,$279.81
04/30/2025,$282.16,128961100,$279.90,$284.45,$270.78
04/29/2025,$292.03,108906600,$285.50,$293.32,$279.4695
04/28/2025,$285.88,151731800,$288.98,$294.86,$272.42
04/25/2025,$284.95,167560700,$261.69,$286.85,$259.63
04/24/2025,$259.51,94464200,$250.50,$259.54,$249.20
04/23/2025,$250.74,150381900,$254.86,$259.4499,$244.43
04/22/2025,$237.97,120858500,$230.96,$242.79,$229.8501
04/21/2025,$227.50,97768010,$230.26,$232.21,$222.79
04/17/2025,$241.37,83404780,$243.47,$244.34,$237.6833
04/16/2025,$241.55,112378700,$247.61,$251.97,$233.89
04/15/2025,$254.11,79594320,$249.91,$258.75,$247.54
04/14/2025,$252.35,100135200,$258.36,$261.80,$245.93
04/11/2025,$252.31,128948100,$251.84,$257.74,$241.3629
04/10/2025,$252.40,181722600,$260.00,$262.49,$239.33
04/09/2025,$272.20,219433400,$224.69,$274.69,$223.88
04/08/2025,$221.86,171603500,$245.00,$250.44,$217.80
04/07/2025,$233.29,183453800,$223.78,$252.00,$214.25
04/04/2025,$239.43,181229400,$255.38,$261.00,$236.00
04/03/2025,$267.28,136174300,$265.29,$276.30,$261.51
04/02/2025,$282.76,212787800,$254.60,$284.99,$251.27
04/01/2025,$268.46,146486900,$263.80,$277.45,$259.25
03/31/2025,$259.16,134008900,$249.31,$260.56,$243.3601
03/28/2025,$263.55,123809400,$275.575,$276.10,$260.57
03/27/2025,$273.13,162572100,$272.48,$291.85,$271.8216
03/26/2025,$272.06,156254400,$282.66,$284.90,$266.51
03/25/2025,$288.14,150361500,$283.60,$288.20,$271.28
03/24/2025,$278.39,169079900,$258.075,$278.64,$256.33
03/21/2025,$248.71,132728700,$234.985,$249.52,$234.55
03/20/2025,$236.26,99028270,$233.345,$238.00,$230.0501
03/19/2025,$235.86,111993800,$231.61,$241.41,$229.201
03/18/2025,$225.31,111477600,$228.155,$230.10,$222.28
03/17/2025,$238.01,111900600,$245.055,$245.40,$232.80
03/14/2025,$249.98,100242300,$247.31,$251.58,$240.73
03/13/2025,$240.68,114813500,$248.125,$248.29,$232.60
03/12/2025,$248.09,142215700,$247.22,$251.84,$241.10
03/11/2025,$230.58,174896400,$225.305,$237.0649,$217.02
03/10/2025,$222.15,189076900,$252.535,$253.37,$220.00
03/07/2025,$262.67,102369600,$259.32,$266.2499,$250.73
03/06/2025,$263.45,98451570,$272.06,$272.65,$260.02
03/05/2025,$279.10,94042910,$272.92,$279.55,$267.71
03/04/2025,$272.04,126706600,$270.93,$284.35,$261.8401
03/03/2025,$284.65,115551400,$300.34,$303.94,$277.30
02/28/2025,$292.98,115697000,$279.50,$293.88,$273.60
02/27/2025,$281.95,101748200,$291.16,$297.23,$280.88
02/26/2025,$290.80,100118300,$303.715,$309.00,$288.04
02/25/2025,$302.80,134228800,$327.025,$328.89,$297.2512
02/24/2025,$330.53,76052320,$338.14,$342.3973,$324.70
02/21/2025,$337.80,74058650,$353.44,$354.98,$334.42
02/20/2025,$354.40,45965350,$361.51,$362.30,$348.00
02/19/2025,$360.56,67094370,$354.00,$367.34,$353.67
02/18/2025,$354.11,51631700,$355.01,$359.10,$350.02
02/14/2025,$355.84,68277280,$360.62,$362.00,$347.50
02/13/2025,$355.94,89441520,$345.00,$358.69,$342.85
02/12/2025,$336.51,105382700,$329.94,$346.40,$329.12
02/11/2025,$328.50,118543400,$345.80,$349.37,$325.10
02/10/2025,$350.73,77514900,$356.21,$362.70,$350.51
02/07/2025,$361.62,70298260,$370.19,$380.5459,$360.34
02/06/2025,$374.32,77918230,$373.03,$375.40,$363.18
02/05/2025,$378.17,57614720,$387.51,$388.39,$375.53
02/04/2025,$392.21,57072240,$382.63,$394.00,$381.40
02/03/2025,$383.68,93732120,$386.68,$389.17,$374.36
01/31/2025,$404.60,83568220,$401.53,$419.99,$401.34
01/30/2025,$400.28,98092880,$410.78,$412.50,$384.41
01/29/2025,$389.10,68033650,$395.21,$398.5899,$384.48
01/28/2025,$398.09,48910680,$396.91,$400.59,$386.50
01/27/2025,$397.15,58125510,$394.80,$406.69,$389.00
01/24/2025,$406.58,56427150,$414.45,$418.88,$405.78
01/23/2025,$412.38,50690590,$416.06,$420.73,$408.95
01/22/2025,$415.11,60963340,$416.81,$428.00,$414.59
01/21/2025,$424.07,87320890,$432.64,$433.20,$406.31
01/17/2025,$426.50,94991430,$421.50,$439.74,$419.75
01/16/2025,$413.82,68335150,$423.49,$424.00,$409.13
01/15/2025,$428.22,81375460,$409.90,$429.80,$405.661
01/14/2025,$396.36,84565020,$414.34,$422.64,$394.54
01/13/2025,$403.31,67580490,$383.21,$403.79,$380.07
01/10/2025,$394.74,62287330,$391.40,$399.28,$377.29
01/08/2025,$394.94,73038810,$392.95,$402.4999,$387.40
01/07/2025,$394.36,75699530,$405.83,$414.33,$390.00
01/06/2025,$411.05,85516530,$423.20,$426.43,$401.70
01/03/2025,$410.44,95423330,$381.48,$411.8799,$379.45
01/02/2025,$379.28,109710700,$390.10,$392.7299,$373.04
12/31/2024,$403.84,76825120,$423.79,$427.93,$402.54
12/30/2024,$417.41,64941010,$419.40,$427.00,$415.75
12/27/2024,$431.66,82666820,$449.52,$450.00,$426.50
12/26/2024,$454.13,76651210,$465.16,$465.3299,$451.02
12/24/2024,$462.28,59551750,$435.90,$462.78,$435.14
12/23/2024,$430.60,72698060,$431.00,$434.51,$415.4112
12/20/2024,$421.06,132216200,$425.505,$447.08,$417.64
12/19/2024,$436.17,118566100,$451.88,$456.36,$420.02
12/18/2024,$440.13,149340800,$466.495,$488.5399,$427.01
12/17/2024,$479.86,131223000,$475.90,$483.99,$457.5101
12/16/2024,$463.02,114083800,$441.09,$463.19,$436.15
12/13/2024,$436.23,89000160,$420.00,$436.30,$415.71
12/12/2024,$418.10,87752230,$424.84,$429.30,$415.00
12/11/2024,$424.77,104287600,$409.70,$424.88,$402.38
12/10/2024,$400.99,97563580,$392.68,$409.73,$390.85
12/09/2024,$389.79,96359170,$397.61,$404.80,$378.01
12/06/2024,$389.22,81455830,$377.42,$389.49,$370.80
12/05/2024,$369.49,81403570,$359.87,$375.43,$359.50
12/04/2024,$357.93,50810870,$353.00,$358.10,$348.60
12/03/2024,$351.42,58267200,$351.80,$355.69,$348.20
12/02/2024,$357.09,77986480,$352.38,$360.00,$351.1501
11/29/2024,$345.16,37167620,$336.08,$345.45,$334.6501
11/27/2024,$332.89,57896440,$341.80,$342.55,$326.59
11/26/2024,$338.23,62295860,$341.00,$346.96,$335.66
11/25/2024,$338.59,95890900,$360.14,$361.93,$338.20
11/22/2024,$352.56,89140720,$341.085,$361.53,$337.70
11/21/2024,$339.64,58011720,$343.81,$347.9899,$335.28
11/20/2024,$342.03,66340650,$345.00,$346.5999,$334.30
11/19/2024,$346.00,88852450,$335.76,$347.3799,$332.75
11/18/2024,$338.74,126547500,$340.73,$348.5499,$330.01
11/15/2024,$320.72,114440300,$310.57,$324.6799,$309.22
11/14/2024,$311.18,120726100,$327.69,$329.98,$310.37
11/13/2024,$330.24,125405600,$335.85,$344.5999,$322.50
11/12/2024,$328.49,155726000,$342.74,$345.84,$323.31
11/11/2024,$350.00,210521600,$346.30,$358.64,$336.00
11/08/2024,$321.22,204782800,$299.14,$328.71,$297.66
11/07/2024,$296.91,117309200,$288.89,$299.75,$285.52
11/06/2024,$288.53,165228700,$284.67,$289.59,$275.62
11/05/2024,$251.44,69282510,$247.34,$255.2799,$246.2101
11/04/2024,$242.84,68802350,$244.56,$248.90,$238.88
11/01/2024,$248.98,57544760,$252.043,$254.00,$246.63
10/31/2024,$249.85,66575290,$257.99,$259.75,$249.25
10/30/2024,$257.55,53993580,$258.035,$263.35,$255.8201
10/29/2024,$259.52,80521750,$264.51,$264.98,$255.51
10/28/2024,$262.51,107653600,$270.00,$273.536,$262.24
10/25/2024,$269.19,161611900,$256.01,$269.49,$255.32
10/24/2024,$260.48,204491900,$244.68,$262.1199,$242.65
10/23/2024,$213.65,80938890,$217.125,$218.72,$212.11
10/22/2024,$217.97,43268740,$217.31,$218.22,$215.26
10/21/2024,$218.85,47328990,$218.90,$220.48,$215.726
10/18/2024,$220.70,49611870,$220.71,$222.28,$219.23
10/17/2024,$220.89,50791780,$221.59,$222.08,$217.90
10/16/2024,$221.33,49632820,$221.40,$222.8199,$218.93
10/15/2024,$219.57,62988790,$220.01,$224.26,$217.12
10/14/2024,$219.16,86291920,$220.13,$221.91,$213.74
10/11/2024,$217.80,142628900,$220.13,$223.34,$214.38
10/10/2024,$238.77,83087060,$241.81,$242.7899,$232.34
10/09/2024,$241.05,66289530,$243.82,$247.43,$239.51
10/08/2024,$244.50,56303160,$243.56,$246.21,$240.56
10/07/2024,$240.83,68113270,$249.00,$249.83,$240.70
10/04/2024,$250.08,86726290,$246.69,$250.96,$244.58
10/03/2024,$240.66,80729240,$244.48,$249.79,$237.81
10/02/2024,$249.02,93983930,$247.55,$251.1585,$241.50
10/01/2024,$258.02,87397610,$262.67,$263.98,$248.53
09/30/2024,$261.63,80873380,$259.04,$264.86,$255.77
09/27/2024,$260.46,70988070,$257.375,$260.6999,$254.12
09/26/2024,$254.22,67142190,$260.60,$261.75,$251.53
09/25/2024,$257.02,65034320,$252.54,$257.05,$252.28
09/24/2024,$254.27,88491000,$254.08,$257.19,$249.0501
09/23/2024,$250.00,86927190,$242.61,$250.00,$241.92
09/20/2024,$238.25,99879070,$241.52,$243.99,$235.92
09/19/2024,$243.92,102694600,$234.00,$244.24,$232.13
09/18/2024,$227.20,78010200,$230.09,$235.68,$226.88
09/17/2024,$227.87,66761640,$229.45,$234.57,$226.5533
09/16/2024,$226.78,54323000,$229.30,$229.96,$223.53
09/13/2024,$230.29,59515110,$228.00,$232.67,$226.32
09/12/2024,$229.81,72020040,$224.66,$231.45,$223.83
09/11/2024,$228.13,83548630,$224.55,$228.47,$216.8003
09/10/2024,$226.17,78891140,$220.07,$226.40,$218.6377
09/09/2024,$216.27,67443520,$216.20,$219.87,$213.67
09/06/2024,$210.73,112177000,$232.60,$233.60,$210.51
09/05/2024,$230.17,119355000,$223.49,$235.00,$222.25
09/04/2024,$219.41,80651770,$210.59,$222.22,$210.57
09/03/2024,$210.60,76714220,$215.26,$219.9043,$209.64
08/30/2024,$214.11,63370610,$208.63,$214.5701,$207.03
08/29/2024,$206.28,62308820,$209.80,$214.89,$205.97
08/28/2024,$205.75,64116350,$209.72,$211.84,$202.59
08/27/2024,$209.21,62821390,$213.25,$215.66,$206.94
08/26/2024,$213.21,59301190,$218.75,$219.09,$211.01
08/23/2024,$220.32,81525210,$214.455,$221.48,$214.21
08/22/2024,$210.66,79514480,$223.82,$224.80,$210.32
08/21/2024,$223.27,70145960,$222.67,$224.6594,$218.86
08/20/2024,$221.10,74001180,$224.88,$228.22,$219.56
08/19/2024,$222.72,76435220,$217.07,$222.98,$214.09
08/16/2024,$216.12,88765120,$211.15,$219.80,$210.80
08/15/2024,$214.14,89848530,$205.02,$215.88,$204.82
08/14/2024,$201.38,70250010,$207.39,$208.44,$198.75
08/13/2024,$207.83,76247390,$198.47,$208.49,$197.06
08/12/2024,$197.49,64044900,$199.02,$199.26,$194.67
08/09/2024,$200.00,58648270,$197.05,$200.88,$195.11
08/08/2024,$198.84,65033870,$195.70,$200.70,$192.04
08/07/2024,$191.76,71159780,$200.77,$203.49,$191.48
08/06/2024,$200.64,73783940,$200.75,$202.90,$192.67
08/05/2024,$198.88,100308800,$185.22,$203.8799,$182.00
08/02/2024,$207.67,82880120,$214.88,$216.13,$205.78
08/01/2024,$216.86,83861900,$227.69,$231.867,$214.3328
07/31/2024,$232.07,67497010,$227.90,$234.68,$226.7875
07/30/2024,$222.62,100560300,$232.25,$232.41,$220.00
07/29/2024,$232.10,129201800,$224.90,$234.27,$224.70
07/26/2024,$219.80,94604150,$221.19,$222.2799,$215.33
07/25/2024,$220.25,100636500,$216.80,$226.00,$216.231
07/24/2024,$215.99,167942900,$225.42,$225.99,$214.71
07/23/2024,$246.38,111928200,$253.60,$255.7594,$245.63
07/22/2024,$251.51,101225400,$244.21,$253.21,$243.75
07/19/2024,$239.20,87403900,$247.79,$249.44,$236.83
07/18/2024,$249.23,110869000,$251.09,$257.14,$247.20
07/17/2024,$248.50,115584800,$252.73,$258.47,$246.182
07/16/2024,$256.56,126332500,$255.31,$258.62,$245.8001
07/15/2024,$252.64,146912900,$255.97,$265.60,$251.73
07/12/2024,$248.23,155955800,$235.80,$251.84,$233.0912
